2026/09/25 21:21:21.559, 0, 70.03, 0, 2430, 16051, 31056
2026/09/25 21:21:21.562, 1, 61.85, 0, 2400, 16051, 30612
2026/09/25 21:21:21.816, 0, 70.03, 0, 2430, 16051, 31056
2026/09/25 21:21:21.816, 1, 61.85, 0, 2400, 16051, 30612
2026/09/25 21:21:22.066, 0, 70.03, 0, 2430, 16051, 31056
2026/09/25 21:21:22.066, 1, 61.85, 0, 2400, 16051, 30612
2026/09/25 21:21:22.316, 0, 132.32, 43, 2805, 16051, 31056
2026/09/25 21:21:22.316, 1, 127.36, 50, 2677, 16051, 30612
2026/09/25 21:21:22.566, 0, 132.32, 43, 2805, 16051, 31056
2026/09/25 21:21:22.566, 1, 127.36, 50, 2677, 16051, 30612
2026/09/25 21:21:22.816, 0, 132.32, 42, 2805, 16051, 31056
2026/09/25 21:21:22.816, 1, 127.36, 46, 2677, 16051, 30612
2026/09/25 21:21:23.066, 0, 132.32, 42, 2805, 16051, 31056
2026/09/25 21:21:23.066, 1, 127.36, 46, 2677, 16051, 30612
2026/09/25 21:21:23.317, 0, 222.43, 39, 2887, 16051, 31056
2026/09/25 21:21:23.317, 1, 223.69, 45, 2857, 16051, 30612
2026/09/25 21:21:23.567, 0, 222.43, 39, 2887, 16051, 31056
2026/09/25 21:21:23.567, 1, 223.69, 45, 2857, 16051, 30612
2026/09/25 21:21:23.817, 0, 222.43, 41, 2887, 16051, 31056
2026/09/25 21:21:23.817, 1, 223.69, 48, 2857, 16051, 30612
2026/09/25 21:21:24.067, 0, 222.43, 41, 2887, 16051, 31056
2026/09/25 21:21:24.067, 1, 223.69, 48, 2857, 16051, 30612
2026/09/25 21:21:24.317, 0, 226.18, 37, 2887, 16051, 31056
2026/09/25 21:21:24.317, 1, 225.83, 43, 2857, 16051, 30612
2026/09/25 21:21:24.567, 0, 226.18, 37, 2887, 16051, 31056
2026/09/25 21:21:24.567, 1, 225.83, 43, 2857, 16051, 30612
2026/09/25 21:21:24.817, 0, 226.18, 43, 2887, 16051, 31056
2026/09/25 21:21:24.818, 1, 225.83, 47, 2857, 16051, 30612
2026/09/25 21:21:25.068, 0, 226.18, 43, 2887, 16051, 31056
2026/09/25 21:21:25.068, 1, 225.83, 47, 2857, 16051, 30612
2026/09/25 21:21:25.318, 0, 225.29, 42, 2887, 16051, 31056
2026/09/25 21:21:25.318, 1, 226.41, 48, 2850, 16051, 30612
2026/09/25 21:21:25.568, 0, 225.29, 42, 2887, 16051, 31056
2026/09/25 21:21:25.568, 1, 226.41, 48, 2850, 16051, 30612
2026/09/25 21:21:25.818, 0, 225.29, 42, 2887, 16051, 31056
2026/09/25 21:21:25.818, 1, 226.41, 46, 2850, 16051, 30612
2026/09/25 21:21:26.068, 0, 225.29, 42, 2887, 16051, 31056
2026/09/25 21:21:26.069, 1, 226.41, 46, 2850, 16051, 30612
2026/09/25 21:21:26.319, 0, 222.43, 42, 2887, 16051, 31056
2026/09/25 21:21:26.319, 1, 223.82, 47, 2857, 16051, 30612
2026/09/25 21:21:26.569, 0, 222.43, 42, 2887, 16051, 31056
2026/09/25 21:21:26.569, 1, 223.82, 47, 2857, 16051, 30612
2026/09/25 21:21:26.819, 0, 222.43, 42, 2887, 16051, 31056
2026/09/25 21:21:26.819, 1, 223.82, 49, 2857, 16051, 30612
2026/09/25 21:21:27.069, 0, 222.43, 42, 2887, 16051, 31056
2026/09/25 21:21:27.069, 1, 223.82, 49, 2857, 16051, 30612
2026/09/25 21:21:27.319, 0, 222.00, 42, 2887, 16051, 31056
2026/09/25 21:21:27.319, 1, 222.62, 47, 2850, 16051, 30612
2026/09/25 21:21:27.570, 0, 222.00, 42, 2887, 16051, 31056
2026/09/25 21:21:27.570, 1, 222.62, 47, 2850, 16051, 30612
2026/09/25 21:21:27.820, 0, 222.00, 42, 2887, 16051, 31056
2026/09/25 21:21:27.820, 1, 222.62, 47, 2850, 16051, 30612
2026/09/25 21:21:28.070, 0, 222.00, 42, 2887, 16051, 31056
2026/09/25 21:21:28.070, 1, 222.62, 47, 2850, 16051, 30612
2026/09/25 21:21:28.320, 0, 228.55, 41, 2887, 16051, 31056
2026/09/25 21:21:28.320, 1, 231.38, 48, 2850, 16051, 30612
2026/09/25 21:21:28.570, 0, 228.55, 41, 2887, 16051, 31056
2026/09/25 21:21:28.570, 1, 231.38, 48, 2850, 16051, 30612
2026/09/25 21:21:28.820, 0, 228.55, 44, 2887, 16051, 31056
2026/09/25 21:21:28.821, 1, 231.38, 50, 2850, 16051, 30612
2026/09/25 21:21:29.071, 0, 228.55, 44, 2887, 16051, 31056
2026/09/25 21:21:29.071, 1, 231.38, 50, 2850, 16051, 30612
2026/09/25 21:21:29.321, 0, 229.72, 43, 2887, 16051, 31056
2026/09/25 21:21:29.321, 1, 232.09, 49, 2850, 16051, 30612
2026/09/25 21:21:29.571, 0, 229.72, 43, 2887, 16051, 31056
2026/09/25 21:21:29.571, 1, 232.09, 49, 2850, 16051, 30612
2026/09/25 21:21:29.821, 0, 229.72, 44, 2887, 16051, 31056
2026/09/25 21:21:29.821, 1, 232.09, 50, 2850, 16051, 30612
2026/09/25 21:21:30.071, 0, 229.72, 44, 2887, 16051, 31056
2026/09/25 21:21:30.072, 1, 232.09, 50, 2850, 16051, 30612
2026/09/25 21:21:30.322, 0, 230.23, 41, 2887, 16051, 31056
2026/09/25 21:21:30.322, 1, 232.47, 47, 2842, 16051, 30612
2026/09/25 21:21:30.572, 0, 230.23, 41, 2887, 16051, 31056
2026/09/25 21:21:30.572, 1, 232.47, 47, 2842, 16051, 30612
2026/09/25 21:21:30.822, 0, 230.23, 44, 2887, 16051, 31056
2026/09/25 21:21:30.822, 1, 232.47, 50, 2842, 16051, 30612
