2026/09/25 21:30:22.964, 0, 293.33, 41, 2857, 31938
2026/09/25 21:30:22.966, 1, 275.55, 45, 2827, 31366
2026/09/25 21:30:23.472, 0, 293.33, 31, 2857, 31938
2026/09/25 21:30:23.472, 1, 275.55, 45, 2827, 31366
2026/09/25 21:30:23.972, 0, 237.75, 41, 2880, 31938
2026/09/25 21:30:23.972, 1, 236.53, 49, 2842, 31366
2026/09/25 21:30:24.473, 0, 237.75, 41, 2880, 31938
2026/09/25 21:30:24.473, 1, 236.53, 47, 2842, 31366
2026/09/25 21:30:24.973, 0, 238.38, 43, 2880, 31938
2026/09/25 21:30:24.973, 1, 245.24, 50, 2842, 31366
2026/09/25 21:30:25.473, 0, 238.38, 42, 2880, 31938
2026/09/25 21:30:25.473, 1, 245.24, 48, 2842, 31366
2026/09/25 21:30:25.973, 0, 239.32, 42, 2880, 31938
2026/09/25 21:30:25.973, 1, 244.64, 48, 2842, 31366
2026/09/25 21:30:26.473, 0, 239.32, 41, 2880, 31938
2026/09/25 21:30:26.473, 1, 244.64, 47, 2842, 31366
2026/09/25 21:30:26.973, 0, 239.58, 42, 2880, 31938
2026/09/25 21:30:26.973, 1, 244.37, 47, 2842, 31366
2026/09/25 21:30:27.473, 0, 239.58, 44, 2880, 31938
2026/09/25 21:30:27.473, 1, 244.37, 48, 2842, 31366
2026/09/25 21:30:27.974, 0, 229.40, 43, 2895, 31938
2026/09/25 21:30:27.974, 1, 232.33, 49, 2857, 31406
2026/09/25 21:30:28.474, 0, 347.27, 92, 2812, 31958
2026/09/25 21:30:28.474, 1, 270.84, 100, 2782, 31446
2026/09/25 21:30:28.974, 0, 422.33, 69, 2872, 31958
2026/09/25 21:30:28.974, 1, 357.23, 0, 2820, 31446
2026/09/25 21:30:29.474, 0, 338.94, 56, 2880, 31958
2026/09/25 21:30:29.474, 1, 359.74, 38, 2842, 31446
2026/09/25 21:30:29.974, 0, 338.94, 56, 2880, 31958
2026/09/25 21:30:29.974, 1, 359.74, 38, 2842, 31446
2026/09/25 21:30:30.474, 0, 229.26, 40, 2880, 31958
2026/09/25 21:30:30.474, 1, 245.06, 46, 2842, 31446
2026/09/25 21:30:30.974, 0, 229.26, 40, 2880, 31958
2026/09/25 21:30:30.975, 1, 245.06, 48, 2842, 31446
2026/09/25 21:30:31.475, 0, 235.85, 40, 2887, 31958
2026/09/25 21:30:31.475, 1, 241.56, 46, 2850, 31446
2026/09/25 21:30:31.975, 0, 235.85, 41, 2887, 31958
2026/09/25 21:30:31.975, 1, 241.56, 46, 2850, 31446
2026/09/25 21:30:32.475, 0, 237.53, 39, 2887, 31958
2026/09/25 21:30:32.475, 1, 242.51, 42, 2850, 31446
2026/09/25 21:30:32.975, 0, 237.53, 41, 2887, 31958
2026/09/25 21:30:32.975, 1, 242.51, 47, 2850, 31446
2026/09/25 21:30:33.475, 0, 220.95, 25, 2887, 31958
2026/09/25 21:30:33.475, 1, 221.66, 36, 2857, 31448
2026/09/25 21:30:33.975, 0, 345.86, 100, 2812, 31958
2026/09/25 21:30:33.975, 1, 271.48, 77, 2790, 31448
2026/09/25 21:30:34.475, 0, 513.52, 100, 2812, 31958
2026/09/25 21:30:34.476, 1, 395.43, 100, 2775, 31448
2026/09/25 21:30:34.976, 0, 525.04, 89, 2812, 31958
2026/09/25 21:30:34.976, 1, 482.40, 100, 2775, 31448
2026/09/25 21:30:35.476, 0, 432.46, 48, 2842, 31958
